id,clvcuenca,cuenca,clvrha,clvrh,fechadof,fechacorte,subregion,cp,ar,uc,r,im,ex,ev,av,ab,rxy,d,idcatclasificacion,clasificacion,anio
5,"0101","Tijuana","I","RH001","2020-09-21","2020-02-04Z","",83.014,17.359,209.194,0,126.144,0,5.826,-4.297,15.794,8.301,7.492,2,"Con disponibilidad",2020
10,"0102","Descanso-Los Médanos","I","RH001","2020-09-21","2020-02-04Z","",12.391,0,0.566,0,0,0,0,0,11.825,1.239,10.586,2,"Con disponibilidad",2020
21,"0103","Guadalupe","I","RH001","2020-09-21","2020-02-04Z","",48.848,0,36.278,0,0,0,0,0,12.57,4.885,7.685,2,"Con disponibilidad",2020
26,"0104","Ensenada-El Gallo","I","RH001","2020-09-21","2020-02-04Z","",15.078,0,2.275,0,0,0,0.488,0.028,12.287,1.508,10.779,2,"Con disponibilidad",2020
32,"0105","San Carlos","I","RH001","2020-09-21","2020-02-04Z","",16.194,0,0.808,0,0,0,0,0,15.386,1.619,13.766,2,"Con disponibilidad",2020
39,"0106","Maneadero-Las Ánimas","I","RH001","2020-09-21","2020-02-04Z","",20.272,0,0.86,0,0,0,0,0,19.412,2.027,17.385,2,"Con disponibilidad",2020
44,"0107","Santo Tomás","I","RH001","2020-09-21","2020-02-04Z","",15.991,0,0.36,0,0,0,0,0,15.631,1.599,14.032,2,"Con disponibilidad",2020
52,"0108","San Vicente","I","RH001","2020-09-21","2020-02-04Z","",33.46,0,1.802,0,0,0,0,0,31.658,3.346,28.312,2,"Con disponibilidad",2020
63,"0109","Los Cochis-El Salado","I","RH001","2020-09-21","2020-02-04Z","",25.892,0,1.249,0,0,0,0,0,24.643,2.589,22.054,2,"Con disponibilidad",2020
69,"0110","San Rafael","I","RH001","2020-09-21","2020-02-04Z","",13.704,0,0.439,0,0,0,0,0,13.265,1.37,11.895,2,"Con disponibilidad",2020
77,"0111","San Telmo","I","RH001","2020-09-21","2020-02-04Z","",10.744,0,4.313,0,0,0,0,0,6.431,1.074,5.356,2,"Con disponibilidad",2020
78,"0112","Santo Domingo","I","RH001","2020-09-21","2020-02-04Z","",9.48,0,3.896,0,0,0,0,0,5.584,0.948,4.636,2,"Con disponibilidad",2020
88,"0113","San Quintín","I","RH001","2020-09-21","2020-02-04Z","",7.592,0,0.377,0,0,0,0,0,7.215,0.759,6.456,2,"Con disponibilidad",2020
92,"0114","San Simón","I","RH001","2020-09-21","2020-02-04Z","",11.504,0,0.176,0,0,0,0,0,11.328,1.15,10.177,2,"Con disponibilidad",2020
104,"0115","El Socorro","I","RH001","2020-09-21","2020-02-04Z","",6.06,0,0.002,0,0,0,0,0,6.058,0.606,5.452,2,"Con disponibilidad",2020
111,"0116","El Rosario","I","RH001","2020-09-21","2020-02-04Z","",28.664,0,1.615,0,0,0,0,0,27.049,2.866,24.183,2,"Con disponibilidad",2020
113,"0201","Santa Catarina","I","RH002","2020-09-21","2020-02-04Z","",30.676,0,0.957,0,0,0,0,0,29.719,3.068,26.651,2,"Con disponibilidad",2020
120,"0202","La Bocana","I","RH002","2020-09-21","2020-02-04Z","",18.661,0,0.018,0,0,0,0,0,18.643,1.866,16.777,2,"Con disponibilidad",2020
129,"0203","Jaraguay","I","RH002","2020-09-21","2020-02-04Z","",5.233,0,0.043,0,0,0,0,0,5.19,0.523,4.666,2,"Con disponibilidad",2020
137,"0204","San José","I","RH002","2020-09-21","2020-02-04Z","",4.949,0,0.009,0,0,0,0,0,4.94,0.495,4.445,2,"Con disponibilidad",2020
147,"0205","Chapala","I","RH002","2020-09-21","2020-02-04Z","",6.291,0,0.002,0,0,0,0,0,6.289,0.629,5.66,2,"Con disponibilidad",2020
151,"0206","Boca del Carrizo","I","RH002","2020-09-21","2020-02-04Z","",9.395,0,0.06,0,0,0,0,0,9.335,0.94,8.395,2,"Con disponibilidad",2020
160,"0207","San Andrés","I","RH002","2020-09-21","2020-02-04Z","",12.559,0,0,0,0,0,0,0,12.559,1.256,11.303,2,"Con disponibilidad",2020
168,"0208","Santo Dominguito","I","RH002","2020-09-21","2020-02-04Z","",3.266,0,0,0,0,0,0,0,3.266,0.327,2.939,2,"Con disponibilidad",2020
169,"0209","Rosarito","I","RH002","2020-09-21","2020-02-04Z","",5.624,0,0.014,0,0,0,0,0,5.61,0.562,5.048,2,"Con disponibilidad",2020
179,"0210","San Miguel","I","RH002","2020-09-21","2020-02-04Z","",3.683,0,0.09,0,0,0,0,0,3.593,0.368,3.225,2,"Con disponibilidad",2020
185,"0211","Paraíso","I","RH002","2020-09-21","2020-02-04Z","",6.29,0,0.024,0,0,0,0,0,6.266,0.629,5.637,2,"Con disponibilidad",2020
195,"0212","San Luis","I","RH002","2020-09-21","2020-02-04Z","",11.596,0,0,0,0,0,0,0,11.596,1.16,10.436,2,"Con disponibilidad",2020
202,"0213","El Arco","I","RH002","2020-09-21","2020-02-04Z","",5.482,0,0,0,0,0,0,0,5.482,0.548,4.934,2,"Con disponibilidad",2020
205,"0214","Vizcaíno","I","RH002","2020-09-21","2020-02-04Z","",31.762,0,0.083,0,0,0,0,0,31.679,3.176,28.503,2,"Con disponibilidad",2020
213,"0215","Punta Eugenia","I","RH002","2020-09-21","2020-02-04Z","",4.891,0,0.02,0,0,0,0,0,4.871,0.489,4.382,2,"Con disponibilidad",2020
220,"0216","San Ignacio","I","RH002","2020-09-21","2020-02-04Z","",83.802,0,3.082,0,0,0,0,0,80.72,8.38,72.34,2,"Con disponibilidad",2020
227,"0301","La Purísima","I","RH003","2020-09-21","2020-02-04Z","",41.905,0,4.64,0,0,0,0,0,37.265,4.191,33.075,2,"Con disponibilidad",2020
232,"0302","Mezquital Seco","I","RH003","2020-09-21","2020-02-04Z","",24.637,0,0.022,0,0,0,0,0,24.615,2.464,22.151,2,"Con disponibilidad",2020
241,"0303","Santo Domingo","I","RH003","2020-09-21","2020-02-04Z","",67.633,0,0.758,0,0,0,0,0,66.875,6.763,60.112,2,"Con disponibilidad",2020
247,"0304","Bramonas","I","RH003","2020-09-21","2020-02-04Z","",91.183,0,0.43,0,0,0,0,0,90.753,9.118,81.635,2,"Con disponibilidad",2020
253,"0305","Santa Rita","I","RH003","2020-09-21","2020-02-04Z","",33.022,0,0.899,0,0,0,0,0,32.123,3.302,28.821,2,"Con disponibilidad",2020
262,"0306","Las Pocitas-San Hilario","I","RH003","2020-09-21","2020-02-04Z","",38.036,0,0.516,0,0,0,0,0,37.52,3.804,33.717,2,"Con disponibilidad",2020
269,"0307","Conejos-Los Viejos","I","RH003","2020-09-21","2020-02-04Z","",19.733,0,0.033,0,0,0,0,0,19.7,1.973,17.727,2,"Con disponibilidad",2020
276,"0308","Melitón Albañez","I","RH003","2020-09-21","2020-02-04Z","",20.95,0,0.024,0,0,0,0,0,20.926,2.095,18.831,2,"Con disponibilidad",2020
283,"0309","La Matanza","I","RH003","2020-09-21","2020-02-04Z","",6.981,0,0.743,0,0,0,0,0,6.238,0.698,5.54,2,"Con disponibilidad",2020
290,"0310","Cañada Honda","I","RH003","2020-09-21","2020-02-04Z","",0.724,0,0.003,0,0,0,0,0,0.721,0.072,0.649,2,"Con disponibilidad",2020
297,"0311","Todos Santos","I","RH003","2020-09-21","2020-02-04Z","",3.227,0,5.605,0,0,0,0,0,-2.378,0.323,-2.701,1,"Sin disponibilidad",2020
304,"0312","Pescaderos","I","RH003","2020-09-21","2020-02-04Z","",8.318,0,1.699,0,0,0,0,0,6.62,0.832,5.788,2,"Con disponibilidad",2020
311,"0313","Plutarco E. Calles","I","RH003","2020-09-21","2020-02-04Z","",11.647,0,1.989,0,0,0,0,0,9.659,1.165,8.494,2,"Con disponibilidad",2020
318,"0314","Migriño","I","RH003","2020-09-21","2020-02-04Z","",7.948,0,0.006,0,0,0,0,0,7.942,0.795,7.147,2,"Con disponibilidad",2020
326,"0315","El Carrizal","I","RH003","2020-09-21","2020-02-04Z","",4.385,0,0.004,0,0,0,0,0,4.381,0.439,3.943,2,"Con disponibilidad",2020
