CVEGEO,Municipio,Pobreza_pct,Pobreza_extrema_pct,Carencia_servicios_pct,Estado,poblacion_total,pct_rural,clasificacion_rural,monto_agua,monto_recaudado_percapita,tomas_pagadas,Clave RHA,RHA,cobertura_agua_conagua_pct,carencia_agua_conagua_pct
01001,Aguascalientes,23.6822578574,1.9740809501,1.1355700629,Aguascalientes,951537,5.264219888454154,Urbano,893532100.0,942.0,242484.0,VIII,Lerma-Santiago-Pacífico,99.51,0.4899999999999949
01002,Asientos,40.1318811907,4.1428057437,7.4112169067,Aguascalientes,51896,65.77770926468321,Rural,2961854.0,57.0,2989.0,VIII,Lerma-Santiago-Pacífico,99.09,0.9099999999999966
01003,Calvillo,45.7559438264,4.4989728941,3.0785076824,Aguascalientes,58486,51.49779434394556,Rural,38814809.0,666.0,16877.0,VIII,Lerma-Santiago-Pacífico,99.13,0.8700000000000045
01004,Cosío,37.0391820837,3.3771181213,4.3943795705,Aguascalientes,17187,50.67783790073893,Rural,1047418.0,62.0,774.0,VIII,Lerma-Santiago-Pacífico,99.34,0.6599999999999966
01005,Jesús María,26.3418356434,3.2854005406,2.3069385728,Aguascalientes,130388,25.204773445409085,Urbano,103769889.0,799.0,28630.0,VIII,Lerma-Santiago-Pacífico,99.02,0.980000000000004
01006,Pabellón de Arteaga,28.9180201409,2.8751266331,3.5017631735,Aguascalientes,48220,26.68809622563252,Urbano,26448342.0,555.0,7053.0,VIII,Lerma-Santiago-Pacífico,98.88,1.1200000000000045
01007,Rincón de Romos,40.5114187954,5.5632684118,5.8956189453,Aguascalientes,58256,26.93971436418566,Urbano,24385849.0,425.0,12045.0,VIII,Lerma-Santiago-Pacífico,98.69,1.3100000000000023
01008,San José de Gracia,45.7709224917,2.3220399429,5.0998573466,Aguascalientes,9603,41.611996251171504,Urbano,2396435.0,251.0,1760.0,VIII,Lerma-Santiago-Pacífico,98.29,1.7099999999999937
01009,Tepezalá,37.6474724377,3.1497610207,7.6888288866,Aguascalientes,22765,59.964858335163626,Rural,2098249.0,93.0,3208.0,VIII,Lerma-Santiago-Pacífico,98.68,1.3199999999999932
01010,El Llano,40.6121053517,4.8119017708,8.3499420616,Aguascalientes,21706,70.94351792131208,Rural,4681023.0,224.0,3319.0,VIII,Lerma-Santiago-Pacífico,98.21,1.7900000000000063
01011,San Francisco de los Romo,37.790440594,5.9344600154,0.7470660601,Aguascalientes,62281,25.82649604213163,Urbano,29593154.0,477.0,8062.0,VIII,Lerma-Santiago-Pacífico,99.33,0.6700000000000017
